#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G038.6934-00.4524,038.69335,-00.45241,285.89734,+04.91856,00.13,00.17,00006.20,00000.68,00019.88,00002.44,02.687,00.136,02.2,03.180,00.244,02.270,00.150,169.577,07.415,00.36,-0.021,0018.1,G,0,0,0,0,0,0,0,0,0
G038.8756+00.3080,038.87564,+00.30800,285.30225,+05.42878,00.14,00.13,00077.93,00006.94,00311.31,00029.87,03.573,00.006,03.2,,,,,,,00.34,-0.003,0231.3,P,0,0,0,0,0,0,0,0,0
G039.1956+00.2255,039.19557,+00.22546,285.52325,+05.67548,00.30,00.30,00043.81,00003.91,00062.27,00006.41,01.949,00.009,01.2,,,,,,,00.33,0.001,0132.4,P,0,0,0,0,0,0,0,0,0
G039.8824-00.3460,039.88236,-00.34602,286.35058,+06.02406,00.14,00.14,00048.46,00004.32,00276.87,00026.38,03.806,00.006,03.5,,,,,,,00.35,0.003,0136.3,P,0,0,0,0,0,0,0,0,0
G040.4251+00.7002,040.42512,+00.70017,285.66505,+06.98573,01.99,01.96,00004.80,00000.51,00011.10,00002.42,02.948,00.075,02.5,,,,,,,00.39,-0.014,0011.2,P,0,0,0,0,0,0,0,0,0
G041.7419+00.0973,041.74190,+00.09733,286.81489,+07.87876,00.17,00.16,00041.62,00003.71,00227.40,00023.95,05.614,00.012,05.4,,,,,,,00.33,-0.019,0123.5,P,0,0,0,0,0,0,1,0,0
G042.1090-00.4469,042.10901,-00.44691,287.47315,+07.95412,00.11,00.11,00009.88,00000.94,00014.80,00001.53,01.836,00.052,01.1,01.922,00.080,01.754,00.069,07.668,14.968,00.31,-0.005,0031.6,G,0,0,0,0,0,0,1,0,0
G042.4345-00.2605,042.43453,-00.26049,287.45790,+08.32889,00.32,00.31,00021.95,00001.97,00083.65,00009.25,03.633,00.016,03.3,,,,,,,00.35,0.011,0061.3,P,0,1,0,0,0,0,0,1,0
G043.1460+00.0139,043.14596,+00.01389,287.54428,+09.08714,00.19,00.18,00076.36,00006.83,00694.60,00069.66,06.222,00.013,06.0,,,,,,,01.57,0.042,0047.8,P,0,1,0,1,1,0,1,1,0
G043.1489+00.0130,043.14894,+00.01305,287.54601,+09.08894,00.12,00.12,00036.47,00003.97,00044.13,00006.07,01.650,00.080,,01.761,00.127,01.546,00.100,147.686,19.084,01.69,-0.014,0020.6,G,0,1,0,1,1,0,1,1,0
G043.1520+00.0115,043.15200,+00.01149,287.54891,+09.09087,00.35,00.34,00111.08,00009.95,00306.63,00034.78,02.606,00.014,02.1,,,,,,,01.55,-0.023,0070.7,P,0,1,0,1,1,0,1,0,0
