#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G011.9039-00.1411,011.90393,-00.14108,273.04760,-18.69140,00.11,00.11,00011.11,00001.10,00016.81,00001.88,01.845,00.064,01.1,01.855,00.092,01.835,00.090,150.497,90.000,00.43,0.032,0025.3,G,0,1,0,0,0,0,1,1,0
G011.9368-00.6158,011.93677,-00.61577,273.50458,-18.88987,00.10,00.10,00163.93,00014.59,01155.90,00105.38,05.886,00.003,05.7,,,,,,,00.35,-0.001,0470.9,P,0,0,0,0,1,0,1,0,0
G011.9446-00.0369,011.94458,-00.03686,272.97191,-18.60485,00.11,00.12,00061.58,00005.48,00943.58,00098.50,14.640,00.014,14.6,,,,,,,00.46,-0.020,0134.3,P,0,0,0,1,0,0,1,0,0
G011.9786-00.0973,011.97859,-00.09725,273.04490,-18.60486,00.21,00.18,00003.26,00000.51,00004.46,00001.08,01.755,00.190,,02.053,00.352,01.500,00.198,122.671,16.580,00.46,0.024,0007.2,G,0,0,0,1,0,0,1,0,0
G012.1988-00.0345,012.19880,-00.03447,273.09839,-18.38157,00.11,00.11,00019.68,00001.82,00062.71,00005.92,02.677,00.061,02.2,02.739,00.088,02.618,00.083,09.500,22.175,00.49,0.005,0039.2,G,0,0,0,1,0,0,1,0,0
G012.2081-00.1019,012.20806,-00.10189,273.16539,-18.40592,00.18,00.18,00072.18,00006.43,00207.87,00019.73,02.841,00.006,02.4,,,,,,,00.48,-0.004,0149.5,P,0,0,0,1,0,0,1,0,0
G012.4294-00.0479,012.42940,-00.04791,273.22738,-18.18573,00.11,00.11,00013.78,00001.29,00045.17,00004.35,02.716,00.069,02.3,02.852,00.103,02.587,00.091,113.008,12.016,00.38,-0.011,0040.2,G,0,0,0,0,0,0,0,0,0
G012.4317-01.1112,012.43168,-01.11120,274.21336,-18.69117,00.54,00.54,00009.67,00000.91,00069.01,00009.50,04.398,00.032,04.1,,,,,,,00.50,-0.026,0018.4,P,0,0,0,1,1,0,0,0,0
G012.8050-00.2007,012.80500,-00.20067,273.55816,-17.92913,00.10,00.10,00287.90,00025.63,12616.40,01120.83,16.225,00.005,16.2,,,,,,,03.80,0.274,0074.7,P,0,0,0,1,0,0,0,0,0
G012.8131-00.1976,012.81310,-00.19759,273.55902,-17.92105,00.20,00.25,00131.04,00011.82,01500.39,00147.30,05.431,00.012,05.2,,,,,,,03.84,0.118,0033.2,P,0,0,0,1,0,0,0,0,0
G012.9995-00.3583,012.99951,-00.35830,273.80075,-17.83354,00.27,00.30,00004.76,00000.74,00020.14,00003.70,03.086,00.319,02.7,03.247,00.483,02.933,00.420,159.669,56.331,00.64,-0.105,0008.6,G,0,0,0,1,0,0,1,0,0
G013.2099-00.1428,013.20989,-00.14281,273.70837,-17.54569,00.11,00.11,00040.72,00003.63,00946.76,00087.46,08.347,00.005,08.2,,,,,,,00.43,-0.077,0094.3,P,0,0,0,0,0,0,0,0,0
G013.3850+00.0684,013.38496,+00.06835,273.60252,-17.29232,00.12,00.12,00010.49,00000.94,00603.94,00060.83,19.177,00.015,19.1,,,,,,,00.54,0.201,0018.3,P,0,0,0,1,0,0,0,0,0
G013.8726+00.2818,013.87258,+00.28179,273.64920,-16.76033,00.11,00.11,00024.71,00002.21,01447.55,00129.84,15.430,00.009,15.4,,,,,,,00.87,0.043,0027.5,P,0,0,0,1,0,0,0,0,0
G014.1046+00.0918,014.10457,+00.09178,273.93792,-16.64754,00.83,00.82,00007.85,00000.75,00024.61,00003.11,02.860,00.030,02.4,,,,,,,00.38,-0.046,0019.8,P,0,0,0,0,0,0,0,0,0
G014.1741+00.0245,014.17415,+00.02455,274.03525,-16.61827,00.60,00.58,00003.87,00000.38,00047.73,00007.42,06.932,00.049,06.8,,,,,,,00.37,-0.004,0009.5,P,0,0,0,0,0,0,0,0,0
G014.2460-00.0728,014.24596,-00.07284,274.15956,-16.60171,00.50,00.50,00011.40,00001.04,00051.26,00006.18,03.935,00.026,03.6,,,,,,,00.39,-0.018,0028.6,P,0,0,0,0,0,0,0,0,0
G014.5988+00.0198,014.59881,+00.01985,274.24920,-16.24706,00.16,00.27,00002.89,00000.48,00004.39,00001.09,01.848,00.213,01.1,02.277,00.426,01.500,00.202,06.654,12.569,00.38,-0.017,0007.3,G,0,0,0,0,1,0,0,0,0
G014.7785-00.3328,014.77849,-00.33278,274.66124,-16.25621,01.00,00.99,00011.02,00001.02,00018.25,00002.47,02.305,00.032,01.8,,,,,,,00.39,-0.012,0027.6,P,0,0,0,0,0,0,0,0,0
G016.1448+00.0088,016.14482,+00.00876,275.01917,-14.89054,00.10,00.11,00013.02,00001.23,00014.76,00001.55,01.597,00.044,,01.700,00.069,01.500,00.056,145.899,10.211,00.48,-0.328,0026.1,G,0,0,0,1,0,0,1,0,0
G016.3913-00.1383,016.39128,-00.13827,275.27294,-14.74238,00.31,00.30,00003.62,00000.34,00124.27,00015.43,11.741,00.041,11.6,,,,,,,00.38,-0.069,0008.7,P,0,0,0,0,0,0,0,0,0
G016.9445-00.0738,016.94449,-00.07379,275.48343,-14.22393,00.11,00.11,00097.73,00008.70,00519.34,00047.78,03.458,00.003,03.1,,,,,,,00.31,0.047,0312.3,P,0,0,0,0,0,0,1,0,0
G017.0299-00.0696,017.02987,-00.06955,275.52106,-14.14664,00.26,00.26,00002.12,00000.32,00005.38,00001.06,02.388,00.241,01.9,03.216,00.528,01.773,00.208,135.976,07.430,00.26,0.015,0008.9,G,0,0,0,0,0,0,1,0,0
G017.1141-00.1124,017.11407,-00.11236,275.60081,-14.09242,00.19,00.14,00004.82,00000.55,00017.21,00002.19,02.835,00.157,02.4,03.294,00.274,02.440,00.179,92.230,09.394,00.33,0.063,0016.0,G,0,0,0,0,0,0,0,0,0
G017.5549+00.1654,017.55493,+00.16536,275.56158,-13.57277,00.17,00.19,00003.29,00000.44,00007.13,00001.22,02.208,00.175,01.6,02.359,00.275,02.067,00.223,05.945,32.395,00.30,-0.006,0010.9,G,0,0,0,0,0,0,0,0,0
G017.9850+00.1266,017.98501,+00.12662,275.80424,-13.21118,00.35,00.41,00001.85,00000.32,00010.42,00002.07,03.558,00.431,03.2,03.818,00.668,03.316,00.556,01.947,47.633,00.28,-0.010,0008.1,G,0,0,0,0,0,0,0,0,0
G018.1460-00.2839,018.14602,-00.28390,276.25320,-13.25764,00.12,00.12,00010.54,00000.94,00856.18,00082.85,23.421,00.020,23.4,,,,,,,00.60,-0.035,0016.5,P,0,0,0,1,0,0,1,0,0
G018.3024-00.3910,018.30241,-00.39103,276.42626,-13.17194,00.10,00.10,00048.02,00004.27,01277.88,00114.83,14.634,00.004,14.6,,,,,,,00.29,-0.019,0164.5,P,0,0,0,0,0,0,1,0,0
G018.4433-00.0056,018.44328,-00.00558,276.14443,-12.86818,00.10,00.10,00031.48,00002.82,00081.31,00007.30,02.411,00.037,01.9,02.421,00.053,02.400,00.053,179.090,42.011,00.24,-0.016,0124.1,G,0,0,0,0,0,0,0,0,0
G018.4614-00.0038,018.46141,-00.00378,276.15139,-12.85133,00.11,00.11,00121.64,00010.83,00342.12,00031.50,02.759,00.003,02.3,,,,,,,00.24,-0.006,0499.7,P,0,0,0,0,0,0,0,0,0
G018.6654+00.0294,018.66539,+00.02935,276.21925,-12.65552,00.12,00.14,00004.19,00000.48,00005.65,00000.85,01.742,00.101,,01.923,00.169,01.578,00.118,23.947,14.702,00.29,-0.041,0013.8,G,0,0,0,0,0,0,0,0,0
G018.7106+00.0002,018.71061,+00.00022,276.26724,-12.62916,00.21,00.20,00071.64,00006.38,00107.46,00010.62,02.042,00.007,01.4,,,,,,,00.32,-0.017,0222.6,P,0,0,0,0,0,0,0,0,0
G018.7612+00.2630,018.76118,+00.26298,276.05359,-12.46157,00.10,00.10,00036.07,00003.24,00051.38,00004.67,01.790,00.030,,01.842,00.043,01.740,00.040,75.820,08.333,00.45,-0.192,0078.9,G,0,0,0,1,0,0,1,0,0
G018.8250-00.4675,018.82499,-00.46749,276.74605,-12.74616,00.22,00.25,00004.02,00000.61,00011.41,00002.17,02.527,00.250,02.0,02.892,00.431,02.208,00.286,33.004,19.000,00.48,0.337,0007.5,G,0,0,0,1,0,0,1,0,0
G018.8338-00.3002,018.83384,-00.30024,276.59838,-12.66131,00.16,00.16,00029.02,00002.58,00131.38,00013.35,06.718,00.012,06.5,,,,,,,00.21,0.008,0140.3,P,0,0,0,0,1,0,0,0,0
G019.0035+00.1280,019.00347,+00.12803,276.29172,-12.31051,00.30,00.37,00001.91,00000.35,00006.41,00001.52,02.751,00.372,02.3,03.069,00.616,02.466,00.448,23.858,33.142,00.28,-0.010,0007.1,G,0,0,0,0,0,0,0,0,0
G019.0754-00.2874,019.07543,-00.28737,276.70180,-12.44112,00.15,00.14,00023.43,00002.09,00380.69,00037.06,08.489,00.013,08.4,,,,,,,00.50,-0.046,0045.6,P,0,1,0,1,0,0,1,1,0
G019.0767-00.2882,019.07672,-00.28820,276.70364,-12.43985,00.25,00.27,00062.94,00005.61,00129.48,00013.15,02.527,00.010,02.0,,,,,,,00.49,-0.075,0128.1,P,0,1,0,1,0,0,1,1,0
G019.4752+00.1728,019.47525,+00.17281,276.47628,-11.87262,00.60,00.59,00007.03,00000.66,00037.22,00004.56,03.743,00.028,03.4,,,,,,,00.35,-0.041,0019.2,P,0,0,0,0,0,0,0,0,0
G019.6087-00.2351,019.60873,-00.23507,276.90944,-11.94335,00.10,00.10,00153.16,00013.63,02900.88,00260.93,13.108,00.003,13.0,,,,,,,00.56,0.041,0273.7,P,0,1,0,1,1,0,0,1,0
G019.6090-00.2313,019.60899,-00.23126,276.90585,-11.94221,00.22,00.21,00089.71,00007.99,00259.95,00026.87,03.840,00.011,03.5,,,,,,,00.58,0.039,0153.4,P,0,1,0,1,1,0,0,1,0
G019.7281-00.1135,019.72806,-00.11354,276.85563,-11.78231,00.53,00.53,00006.16,00000.57,00026.23,00003.09,03.364,00.023,03.0,,,,,,,00.22,-0.006,0026.6,P,0,0,0,0,1,0,0,0,0
G019.7549-00.1282,019.75490,-00.12817,276.88169,-11.76520,00.10,00.10,00030.71,00002.74,00036.52,00003.29,01.636,00.025,,01.696,00.037,01.578,00.034,44.489,04.381,00.25,-0.009,0121.5,G,0,0,0,0,1,0,0,0,0
G020.0720-00.1421,020.07196,-00.14208,277.04491,-11.49079,00.18,00.14,00039.74,00003.54,00210.13,00021.54,05.386,00.013,05.2,,,,,,,00.39,-0.043,0101.1,P,0,1,0,0,0,0,0,1,0
G020.0797-00.1337,020.07973,-00.13366,277.04088,-11.48019,00.15,00.13,00006.74,00000.76,00014.09,00001.91,02.168,00.120,01.6,02.418,00.201,01.945,00.142,105.471,12.913,00.47,0.012,0013.5,G,0,1,0,1,0,0,0,1,0
G020.0809-00.1362,020.08090,-00.13617,277.04343,-11.48024,00.11,00.12,00137.00,00012.20,00498.19,00045.06,02.977,00.002,02.6,,,,,,,00.39,-0.043,0349.1,P,0,1,0,0,0,0,0,1,0
G020.3633-00.0136,020.36326,-00.01355,277.06668,-11.17339,00.38,00.38,00016.35,00001.47,00055.11,00005.93,02.926,00.015,02.5,,,,,,,00.33,0.002,0048.8,P,0,0,0,0,0,0,0,0,0
G020.7619-00.0646,020.76190,-00.06464,277.30151,-10.84400,00.28,00.22,00003.72,00000.60,00010.03,00002.08,02.463,00.269,02.0,02.769,00.454,02.190,00.317,106.740,24.531,00.50,0.164,0007.3,G,0,0,0,1,0,0,1,0,0
G020.9636-00.0744,020.96361,-00.07435,277.40552,-10.66981,00.15,00.25,00004.11,00000.55,00011.28,00001.84,02.486,00.197,02.0,03.109,00.385,01.987,00.195,179.638,08.416,00.37,0.020,0010.4,G,0,0,0,0,0,0,0,0,0
G021.3571-00.1766,021.35708,-00.17658,277.68310,-10.36851,00.10,00.10,00015.35,00001.40,00024.93,00002.34,01.912,00.038,01.2,01.999,00.058,01.828,00.051,119.144,08.762,00.28,-0.006,0053.4,G,0,0,0,0,1,0,0,0,0
G021.3855-00.2541,021.38554,-00.25408,277.76635,-10.37924,00.21,00.21,00062.56,00005.57,00113.91,00011.24,02.220,00.007,01.6,,,,,,,00.33,-0.019,0186.9,P,0,0,0,0,1,0,0,0,0
G021.6034-00.1685,021.60344,-00.16854,277.79167,-10.14628,01.07,01.03,00004.17,00000.43,00019.84,00003.45,03.742,00.053,03.4,,,,,,,00.33,-0.001,0011.7,P,0,0,0,0,0,0,0,0,0
G021.8751+00.0075,021.87515,+00.00752,277.76035,-09.82522,00.11,00.11,00019.52,00001.74,00566.73,00054.14,11.479,00.009,11.4,,,,,,,00.33,-0.012,0057.6,P,0,0,0,0,0,0,0,0,0
G023.1974-00.0006,023.19742,-00.00059,278.38714,-08.65511,00.16,00.17,00004.34,00000.54,00010.01,00001.54,02.277,00.157,01.7,02.415,00.243,02.148,00.202,00.867,31.774,00.35,-0.016,0011.6,G,0,0,0,0,0,0,0,0,0
G023.2654+00.0765,023.26542,+00.07647,278.34964,-08.55957,00.29,00.29,00019.24,00001.72,00088.57,00009.87,04.585,00.017,04.3,,,,,,,00.32,-0.007,0059.4,P,0,0,0,0,1,0,0,0,0
G023.4553-00.2010,023.45526,-00.20096,278.68716,-08.51864,00.11,00.11,00011.02,00001.07,00014.39,00001.56,01.714,00.054,,01.797,00.082,01.635,00.070,28.843,16.287,00.40,-0.071,0028.5,G,0,0,0,0,0,0,1,0,0
G023.4835+00.0964,023.48350,+00.09643,278.43349,-08.35653,00.16,00.19,00004.01,00000.53,00008.23,00001.39,02.149,00.166,01.5,02.351,00.271,01.964,00.202,167.878,22.552,00.36,-0.020,0011.4,G,0,0,0,0,0,0,0,0,0
G023.7110+00.1705,023.71104,+00.17046,278.47279,-08.12047,00.22,00.22,00030.76,00002.76,00208.50,00020.34,04.690,00.012,04.4,,,,,,,00.60,-0.081,0050.7,P,0,0,0,1,0,0,0,1,0
G023.8618-00.1250,023.86176,-00.12501,278.80812,-08.12308,00.86,00.84,00006.43,00000.64,00039.16,00006.29,04.048,00.045,03.8,,,,,,,00.48,-0.047,0012.6,P,0,0,0,1,0,0,1,0,0
G023.8985+00.0647,023.89848,+00.06474,278.65513,-08.00286,00.21,00.26,00005.80,00000.68,00043.42,00005.45,04.104,00.249,03.8,04.924,00.439,03.420,00.281,24.566,08.664,00.45,0.051,0014.4,G,0,0,0,0,0,0,0,0,0
G023.9564+00.1493,023.95642,+00.14928,278.60501,-07.91273,00.10,00.10,00042.72,00003.80,01161.18,00104.78,13.142,00.005,13.1,,,,,,,00.44,-0.015,0095.3,P,0,0,0,0,0,0,0,0,0
G024.1839+00.1199,024.18394,+00.11994,278.73838,-07.72405,00.14,00.18,00003.00,00000.42,00003.79,00000.79,01.686,00.147,,01.856,00.247,01.531,00.173,168.289,23.220,00.30,0.017,0008.9,G,0,0,0,0,0,0,0,0,0
G024.4698+00.4954,024.46978,+00.49538,278.53513,-07.29729,01.55,01.26,00007.98,00000.86,00029.50,00004.53,02.865,00.042,02.4,,,,,,,00.66,0.004,0011.2,P,0,1,0,1,1,0,0,0,1
G024.4721+00.4877,024.47206,+00.48774,278.54304,-07.29890,00.74,00.73,00007.91,00000.81,00055.19,00007.73,03.863,00.036,03.6,,,,,,,00.65,0.005,0011.3,P,0,0,0,1,1,0,0,0,1
G024.4736+00.4950,024.47362,+00.49503,278.53703,-07.29481,00.55,00.52,00007.51,00000.74,00099.43,00012.24,05.621,00.030,05.4,,,,,,,00.64,0.009,0010.7,P,0,1,0,1,1,0,0,0,1
G024.4921-00.0386,024.49208,-00.03857,279.02371,-07.52313,00.20,00.19,00019.30,00001.73,00140.12,00013.50,04.437,00.010,04.2,,,,,,,00.35,-0.017,0054.2,P,0,0,0,0,0,0,0,0,0
G024.5065-00.2224,024.50653,-00.22238,279.19503,-07.59474,00.18,00.18,00015.00,00001.35,00205.57,00019.72,06.188,00.012,06.0,,,,,,,00.43,-0.048,0034.0,P,0,0,0,0,0,0,1,0,0
G024.8497+00.0881,024.84968,+00.08814,279.07575,-07.14759,00.29,00.50,00003.33,00000.55,00019.93,00003.82,03.669,00.429,03.3,04.695,00.830,02.867,00.439,07.993,11.988,00.49,0.060,0007.0,G,0,0,0,1,0,0,1,0,0
G025.3809-00.1815,025.38091,-00.18154,279.56249,-06.80033,00.16,00.16,00028.64,00002.57,00460.83,00042.66,08.456,00.013,08.3,,,,,,,00.87,-0.037,0032.0,P,0,1,0,1,1,0,0,1,1
G025.3824-00.1812,025.38243,-00.18123,279.56360,-06.79794,00.28,00.32,00036.62,00003.32,00200.13,00020.03,03.436,00.013,03.1,,,,,,,00.91,-0.099,0039.1,P,0,1,0,1,1,0,0,1,1
G025.3948+00.0332,025.39478,+00.03324,279.37742,-06.68878,00.14,00.14,00029.26,00002.61,00296.86,00027.46,04.638,00.006,04.4,,,,,,,00.40,-0.032,0071.6,P,0,0,0,0,0,0,1,0,0
G025.3970+00.5614,025.39695,+00.56140,278.90599,-06.44398,00.18,00.18,00078.34,00006.98,00121.17,00011.53,02.036,00.005,01.4,,,,,,,00.32,0.008,0240.1,P,0,1,0,0,0,0,1,1,0
G025.3981-00.1411,025.39808,-00.14107,279.53447,-06.76616,00.11,00.11,00125.02,00011.13,02132.24,00194.31,08.598,00.005,08.5,,,,,,,00.89,-0.039,0139.4,P,0,1,0,1,1,0,0,0,0
G025.3983+00.5617,025.39830,+00.56167,278.90638,-06.44267,00.10,00.10,00018.55,00001.69,00051.93,00004.82,02.510,00.051,02.0,02.576,00.074,02.446,00.069,91.519,15.588,00.33,-0.005,0053.7,G,0,1,0,0,0,0,1,1,0
G025.3991-00.1366,025.39914,-00.13658,279.53091,-06.76299,02.16,02.10,00007.91,00000.93,00029.38,00006.41,03.359,00.079,03.0,,,,,,,00.90,-0.077,0007.8,P,0,1,0,1,1,0,0,0,0
G025.7157+00.0487,025.71567,+00.04868,279.51165,-06.39640,00.94,00.93,00010.66,00000.99,00020.79,00002.96,02.358,00.032,01.8,,,,,,,00.37,-0.006,0027.7,P,0,0,0,0,0,0,1,0,0
G025.8011-00.1568,025.80114,-00.15685,279.73485,-06.41482,00.10,00.10,00022.54,00002.04,00031.95,00002.96,01.786,00.033,,01.864,00.049,01.711,00.044,23.419,07.594,00.35,-0.014,0063.3,G,0,0,0,0,0,0,0,0,0
G026.0083+00.1369,026.00830,+00.13693,279.56783,-06.09599,00.14,00.14,00004.39,00000.53,00006.58,00001.03,01.836,00.116,01.1,01.980,00.187,01.703,00.143,146.299,21.902,00.33,0.004,0013.2,G,0,0,0,0,1,0,0,0,0
G026.0916-00.0565,026.09161,-00.05651,279.77913,-06.11069,00.23,00.32,00003.99,00000.58,00011.59,00002.13,02.558,00.245,02.1,03.673,00.578,01.782,00.193,149.156,05.480,00.41,-0.035,0011.3,G,0,1,0,0,0,0,0,1,0
G026.1094-00.0937,026.10935,-00.09366,279.82052,-06.11195,00.13,00.14,00004.26,00000.53,00004.72,00000.84,01.578,00.109,,01.661,00.169,01.500,00.139,14.591,35.972,00.36,-0.007,0010.4,G,0,0,0,0,0,0,0,0,0
G026.5976-00.0236,026.59757,-00.02358,279.98279,-05.64599,00.33,00.33,00031.06,00002.78,00069.92,00007.45,02.649,00.013,02.2,,,,,,,00.35,-0.011,0088.1,P,0,0,0,0,1,0,0,0,0
G026.6089-00.2121,026.60885,-00.21214,280.15628,-05.72225,00.18,00.18,00025.51,00002.27,00201.41,00021.67,06.525,00.014,06.4,,,,,,,00.33,-0.012,0075.4,P,0,0,0,0,0,0,0,0,0
G026.8304-00.2067,026.83038,-00.20666,280.25349,-05.52279,00.12,00.12,00007.04,00000.74,00012.31,00001.51,01.983,00.088,01.3,02.021,00.128,01.946,00.120,159.608,62.400,00.37,-0.026,0018.5,G,0,0,0,0,0,0,0,0,0
G027.1859-00.0816,027.18595,-00.08160,280.30528,-05.14941,00.11,00.11,00010.80,00001.07,00019.78,00002.17,02.030,00.071,01.4,02.113,00.107,01.950,00.094,39.288,22.162,00.39,-0.012,0025.8,G,0,0,0,0,0,0,0,0,0
G027.2800+00.1447,027.27996,+00.14468,280.14653,-04.96268,00.12,00.12,00041.16,00003.67,00428.04,00042.07,05.745,00.007,05.5,,,,,,,00.32,-0.001,0128.6,P,0,0,0,0,1,0,0,0,0
G027.3644-00.1657,027.36440,-00.16574,280.46240,-05.02921,00.34,00.33,00031.44,00002.81,00060.14,00006.13,02.262,00.011,01.7,,,,,,,00.36,-0.023,0086.6,P,0,0,0,0,0,0,0,0,0
G027.5637+00.0845,027.56372,+00.08454,280.33080,-04.73907,00.22,00.20,00005.96,00000.54,00162.53,00018.81,12.278,00.031,12.2,,,,,,,00.35,-0.060,0016.3,P,0,0,0,0,0,0,0,0,0
G027.9352+00.2056,027.93519,+00.20564,280.39307,-04.35178,00.17,00.17,00003.89,00000.59,00004.44,00001.04,01.601,00.156,,01.688,00.243,01.519,00.199,45.110,49.583,00.43,0.040,0007.8,G,0,0,0,0,0,0,0,0,0
G028.1985-00.0503,028.19853,-00.05028,280.74224,-04.23469,00.19,00.18,00033.62,00003.00,00136.26,00012.94,03.048,00.007,02.7,,,,,,,00.36,0.008,0091.5,P,0,1,0,0,1,0,0,0,0
G028.2003-00.0494,028.20034,-00.04944,280.74215,-04.23264,00.17,00.17,00099.10,00008.82,00161.66,00015.59,02.192,00.006,01.6,,,,,,,00.36,-0.003,0275.5,P,0,1,0,0,1,0,0,0,0
G028.2879-00.3641,028.28789,-00.36409,281.06292,-04.29888,00.12,00.12,00098.00,00008.73,00552.77,00051.90,04.607,00.005,04.4,,,,,,,00.46,0.027,0214.2,P,0,0,0,1,0,0,1,0,0
G028.4518+00.0027,028.45179,+00.00273,280.81087,-03.98517,00.11,00.11,00014.14,00001.31,00033.75,00003.22,02.318,00.053,01.8,02.373,00.077,02.264,00.073,76.894,21.495,00.32,-0.003,0043.4,G,0,0,0,0,0,0,0,0,0
G028.5816+00.1447,028.58159,+00.14471,280.74357,-03.80480,00.84,00.83,00003.95,00000.41,00040.03,00007.76,05.306,00.058,05.1,,,,,,,00.41,-0.015,0008.7,P,0,0,0,0,0,0,0,0,0
G028.6082+00.0185,028.60820,+00.01854,280.86868,-03.83865,00.17,00.16,00041.36,00003.69,00210.15,00020.28,03.620,00.007,03.3,,,,,,,00.38,0.031,0107.2,P,0,0,0,0,0,0,0,0,0
G028.6523+00.0273,028.65235,+00.02726,280.88088,-03.79593,00.16,00.16,00016.62,00001.49,00228.85,00022.02,05.657,00.009,05.5,,,,,,,00.38,-0.006,0042.7,P,0,0,0,0,0,0,0,0,0
G028.6869+00.1770,028.68689,+00.17702,280.76346,-03.69605,00.28,00.28,00012.67,00001.14,00102.98,00011.05,05.278,00.018,05.1,,,,,,,00.38,0.003,0032.4,P,0,0,0,0,0,0,0,0,0
G029.7704+00.2189,029.77038,+00.21890,281.22150,-02.71363,00.65,00.63,00003.09,00000.32,00049.98,00008.84,06.569,00.053,06.4,,,,,,,00.38,-0.001,0007.1,P,0,0,0,0,0,0,0,0,0
G029.9559-00.0168,029.95585,-00.01677,281.51741,-02.65591,00.11,00.11,00196.18,00017.46,03116.20,00296.94,09.618,00.007,09.5,,,,,,,01.33,-0.103,0147.0,P,0,0,0,1,0,0,0,0,0
G030.0096-00.2734,030.00965,-00.27344,281.76963,-02.72534,00.15,00.15,00003.91,00000.54,00004.54,00000.94,01.616,00.135,,01.738,00.219,01.503,00.166,49.884,30.144,00.39,0.010,0009.7,G,0,0,0,0,0,0,0,0,0
G030.2527+00.0540,030.25268,+00.05402,281.58922,-02.35981,00.27,00.26,00007.35,00000.67,00096.79,00010.20,05.808,00.018,05.6,,,,,,,00.34,-0.017,0020.6,P,0,0,0,0,0,0,0,0,0
G030.5313+00.0205,030.53134,+00.02053,281.74659,-02.12679,00.35,00.29,00008.76,00000.80,00085.54,00009.65,05.543,00.023,05.3,,,,,,,00.41,0.000,0020.6,P,0,1,0,0,0,0,1,1,0
G030.5353+00.0204,030.53526,+00.02038,281.74732,-02.12352,00.11,00.11,00080.02,00007.12,00710.36,00066.36,06.300,00.005,06.1,,,,,,,00.41,-0.019,0196.0,P,0,1,0,0,0,0,1,1,0
G030.5887-00.0428,030.58875,-00.04278,281.82866,-02.10479,00.10,00.10,00065.10,00005.83,00092.37,00008.33,01.787,00.028,,01.912,00.043,01.670,00.037,179.285,02.695,00.65,-0.275,0098.8,G,0,0,0,1,0,0,1,0,0
G030.6881-00.0718,030.68815,-00.07177,281.90064,-02.03077,00.26,00.25,00027.12,00002.46,00466.99,00045.69,10.805,00.032,10.7,,,,,,,01.69,-0.288,0015.1,P,0,0,0,1,0,0,0,0,0
G030.7197-00.0829,030.71968,-00.08286,281.92412,-02.00620,00.19,00.19,00101.36,00009.10,00969.33,00096.01,04.595,00.010,04.3,,,,,,,02.12,-0.192,0047.0,P,0,0,0,1,0,0,1,0,0
G030.7532-00.0511,030.75315,-00.05110,281.91112,-01.96229,00.12,00.12,00062.72,00005.94,00301.66,00029.35,03.290,00.092,02.9,03.476,00.140,03.113,00.121,164.179,12.288,03.07,0.696,0019.3,G,0,0,0,1,0,0,1,0,0
G030.7579+00.2042,030.75791,+00.20420,281.68553,-01.84128,01.23,01.21,00003.52,00000.40,00026.23,00006.12,04.149,00.069,03.9,,,,,,,00.41,0.006,0007.6,P,0,0,0,0,0,0,0,0,0
G030.7661-00.0348,030.76614,-00.03480,281.90253,-01.94330,00.31,00.24,00018.48,00002.68,00087.53,00014.67,03.265,00.302,02.9,03.692,00.502,02.887,00.361,74.764,20.120,02.18,-0.261,0008.7,G,0,0,0,1,0,0,1,0,0
G030.8662+00.1143,030.86620,+00.11429,281.81543,-01.78637,00.18,00.18,00134.58,00011.98,00325.47,00032.96,03.092,00.009,02.7,,,,,,,00.57,-0.107,0235.9,P,0,1,0,1,1,0,0,0,0
G030.9581+00.0869,030.95809,+00.08686,281.88171,-01.71707,01.17,01.17,00006.56,00000.67,00025.79,00004.68,03.204,00.050,02.8,,,,,,,00.47,-0.018,0013.1,P,0,0,0,1,1,0,0,0,0
G031.0495+00.4697,031.04949,+00.46972,281.58275,-01.46096,00.11,00.11,00009.63,00000.94,00013.64,00001.49,01.785,00.058,,01.966,00.097,01.621,00.070,11.680,07.990,00.36,-0.009,0026.0,G,0,0,0,0,0,0,0,0,0
G031.0595+00.0922,031.05953,+00.09221,281.92337,-01.62428,00.13,00.13,00006.50,00000.71,00011.70,00001.51,02.012,00.098,01.3,02.155,00.155,01.878,00.123,45.099,18.370,00.39,-0.024,0016.4,G,0,0,0,0,0,0,0,0,0
G031.1590+00.0465,031.15896,+00.04647,282.00947,-01.55666,00.17,00.17,00003.89,00000.52,00007.04,00001.26,02.020,00.163,01.4,02.179,00.261,01.872,00.202,40.953,28.097,00.39,0.012,0009.4,G,0,1,0,0,0,0,0,0,0
G031.1596+00.0448,031.15958,+00.04475,282.01128,-01.55690,00.10,00.10,00018.70,00001.71,00023.83,00002.28,01.693,00.036,,01.741,00.052,01.647,00.048,36.391,15.650,00.39,0.003,0046.7,G,0,1,0,0,0,0,0,0,0
G031.2420-00.1106,031.24202,-00.11062,282.18621,-01.55403,00.13,00.12,00017.18,00001.53,00296.24,00027.05,07.810,00.007,07.7,,,,,,,00.32,-0.005,0052.2,P,0,1,0,0,0,0,0,1,0
