   l      b x x    RA   x   Dec     size   type   1-GHz  spectral other
   x       x  x x x  (J2000.0)  x     x      x    flux   index    name(s)
  /deg  /deg /hh mm ss  /dd mm  /arcmin    x      /Jy    x	x
  11.1  -0.7  18 12 46  -19 38   11x7    S       1.0    0.7	x
  11.1  +0.1  18 09 47  -19 12   12x10   S       2.3    0.4	x
  11.2  -0.3  18 11 27  -19 25     4     C      22      0.5	x
  11.4  -0.1  18 10 47  -19 05     8     S?      6      0.5	x
  11.8  -0.2  18 12 25  -18 44     4     S       0.7    0.3	x
  12.0  -0.1  18 12 11  -18 37     7?    ?       3.5    0.7	x
  12.2  +0.3  18 11 17  -18 10    6x5    S       0.8    0.7	x
  12.5  +0.2  18 12 14  -17 55    6x5    C?      0.6    0.4	x
  12.7  -0.0  18 13 19  -17 54     6     S       0.8    0.8	x
  12.8  -0.0  18 13 37  -17 49     3     C?      0.8    0.5	x
  13.1  -0.5  18 16 00  -17 49   38x28   S      11?     0.6?	x
  13.3  -1.3  18 19 20  -18 00   70x40   S?      ?      ?	x
  13.5  +0.2  18 14 14  -17 12    5x4    S       3.5?   1.0?	x
  14.1  -0.1  18 16 40  -16 41    6x5    S       0.5    0.6	x
  15.1  -1.6  18 24 00  -16 34   30x24   S?      5.5?   0.0?	x
  15.4  +0.1  18 18 02  -15 27   15x14   C?      5.6    0.62	x
  15.5  -0.1  18 19 25  -15 32    9x8    ?       1.2?   0.55?	x
  15.9  +0.2  18 18 52  -15 02    7x5    S?      5.0    0.63	x
  16.0  -0.5  18 21 56  -15 14   15x10   S       2.7    0.6	x
  16.2  -2.7  18 29 40  -16 08    17     S       2.5    0.4	x
  16.7  +0.1  18 20 56  -14 20     4     C       3.0    0.6	x
  17.0  -0.0  18 21 57  -14 08     5     S       0.5    0.5	x
  17.4  -2.3  18 30 55  -14 52    24?    S       5      0.5?	x
  17.4  -0.1  18 23 08  -13 46     6     S       0.4    0.7	x
  17.8  -2.6  18 32 50  -14 39    24     S       5      0.5	x
  17.8 +16.7  17 24 10  -05 10   51x45   S?      2.7    0.8	x
  18.1  -0.1  18 24 34  -13 11     8     S       4.6    0.5	x
  18.6  -0.2  18 25 55  -12 50     6     S       1.4    0.4	x
  18.8  +0.3  18 23 58  -12 23   17x11   S      33      0.46     Kes_67
  18.9  -1.1  18 29 50  -12 58    33     C?     37      0.39	x
  19.1  +0.2  18 24 56  -12 07    27     S      10      0.5	x
  20.0  -0.2  18 28 07  -11 35    10     F      10      0.1	x
  21.0  -0.4  18 31 12  -10 47    9x7    S       1.1    0.6	x
  21.5  -0.9  18 33 33  -10 35     5     C       7      varies	x
  21.6  -0.8  18 33 40  -10 25    13     S       1.4    0.5?	x
  21.8  -3.0  18 41 50  -11 16    60     S       5      0.7	x
  21.8  -0.6  18 32 45  -10 08    20     S      65      0.56     Kes_69
  22.7  -0.2  18 33 15  -09 13    26     S?     33      0.6	x
  23.3  -0.3  18 34 45  -08 48    27     S      70      0.5      W41
  24.7  -0.6  18 38 43  -07 32    15?    S?      8      0.5	x
  24.7  +0.6  18 34 10  -07 05   30x15   C?     20?     0.2?	x
  25.1  -2.3  18 45 10  -08 00   80x30?  S       8      0.5?	x
  27.4  +0.0  18 41 19  -04 56     4     S       6      0.68     4C-04.71
  27.8  +0.6  18 39 50  -04 24   50x30   F      30      varies	x
  28.3  +0.2  18 42 30  -03 58    10     S       1.3?   0.7?	x
  28.6  -0.1  18 43 55  -03 53   13x9    S       3?     ?	x
  28.7  -0.4  18 45 30  -03 54     9     S       0.9?   0.8?	x
  28.8  +1.5  18 39 00  -02 55   100?    S?      ?      0.4?	x
  29.3  +0.1  18 44 36  -03 06    10?    C?      2.5?   ?	x
  29.6  +0.1  18 44 52  -02 57     5     S       0.5?   0.5?	x
  29.7  -0.3  18 46 25  -02 59     3     C       9      0.7      Kes_75
  30.7  -2.0  18 54 25  -02 54    16     ?       0.5?   0.7?	x
  30.7  +1.0  18 44 00  -01 32   24x18   S?      6      0.4	x
  31.5  -0.6  18 51 10  -01 31    18?    S?      2?     ?	x
  31.9  +0.0  18 49 25  -00 55    7x5    S      25      varies   3C391
  32.0  -4.9  19 06 00  -03 00    60?    S?     22?     0.5?     3C396.1
  32.1  -0.9  18 53 10  -01 08    40?    C?      4?     0.7?	x
  32.4  +0.1  18 50 05  -00 25     6     S       0.8?   0.2?	x
  32.8  -0.1  18 51 25  -00 08   22x15   S?     12      0.3      Kes_78
  33.2  -0.6  18 53 50  -00 02    18     S       3      0.3	x
  33.6  +0.1  18 52 48  +00 41    10     S      20      0.51     Kes_79,4C00.70,HC13
  34.7  -0.4  18 56 00  +01 22   35x27   C     240      0.37     W44,3C392
  35.6  -0.4  18 57 55  +02 13   15x11   S?      9      varies	x
  36.6  -0.7  19 00 35  +02 56    25?    S?      1.0    0.7?	x
  36.6  +2.6  18 48 49  +04 26   17x13?  S       0.7?   0.5?	x
  38.7  -1.3  19 06 40  +04 28   32x19?  S       ?      ?	x
  39.2  -0.3  19 04 08  +05 28    8x6    C      18      0.34     3C396,HC24,NRAO_593
  39.7  -2.0  19 12 20  +04 55  120x60   ?      85?     0.7?     W50,SS433
  40.5  -0.5  19 07 10  +06 31    22     S      11      0.4	x
  41.1  -0.3  19 07 34  +07 08  4.5x2.5  S      25      0.50     3C397
  41.5  +0.4  19 05 50  +07 46    10     S?      1?     ?	x
  42.0  -0.1  19 08 10  +08 00     8     S?      0.5?   ?	x
  42.8  +0.6  19 07 20  +09 05    24     S       3?     0.5?	x
  43.3  -0.2  19 11 08  +09 06    4x3    S      38      0.46     W49B
  43.9  +1.6  19 05 50  +10 30    60?    S?      9.0    0.5	x
  45.7  -0.4  19 16 25  +11 09    22     S       4.2?   0.4?	x
  46.8  -0.3  19 18 10  +12 09    15     S      16      0.54     (HC30)
  49.2  -0.7  19 23 50  +14 06    30     S?    160?     0.3?     (W51)
  53.4  +0.0  19 29 57  +18 10    10?    S       1.5    0.6?	x
  53.6  -2.2  19 38 50  +17 14   33x28   S       8      0.50     3C400.2,NRAO_611
  54.1  +0.3  19 30 31  +18 52    12?    C?      0.5    0.1	x
  54.4  -0.3  19 33 20  +18 56    40     S      28      0.5      (HC40)
  55.0  +0.3  19 32 00  +19 50   20x15?  S       0.5?   0.5?	x
